EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],u_sdss,g_sdss,r_sdss,i_sdss,z_sdss,phase
989,9.39,1.5898433367649103,1.5374574566035002,3.5294073291921353,0.4057440755633018,3.2914019758267985,0.01,0.069632,3.678366,0.20598,-1.299374,-2.732567,-3.517535,5.0
990,9.39,1.589843493818347,1.5373499275262856,3.528903415381549,0.39907006040992354,3.2960307145748016,0.01,0.069632,3.678596,0.218932,-1.283652,-2.732894,-3.523925,5.0
991,9.39,1.5898436094938089,1.5372726051479197,3.52845416580917,0.3927167446876599,3.3005660454737744,0.01,0.069632,3.678049,0.229561,-1.270573,-2.734171,-3.530613,5.0
992,9.39,1.589843725945225,1.5371767649848624,3.528151669119281,0.38862476482590863,3.3034220508057235,0.01,0.06963,3.678032,0.237245,-1.261189,-2.734501,-3.534601,5.0
993,9.39,1.5898437452538932,1.537168344893412,3.527938464616011,0.3855368820608226,3.30565483304082,0.01,0.069631,3.677612,0.242147,-1.25511,-2.735277,-3.537956,5.0
994,9.39,1.5898437595744501,1.5371653084794776,3.5276367659123817,0.3820094220994681,3.3079746787694972,0.01,0.069631,3.678516,0.251203,-1.244243,-2.734204,-3.540573,5.0
995,9.39,1.589843777109863,1.537162371682846,3.52729037024445,0.3778202673541683,3.310777463307116,0.01,0.069631,3.679296,0.261299,-1.232072,-2.733299,-3.54391,5.0
996,9.39,1.589843791958831,1.537159266507476,3.52623859520028,0.3644338831461561,3.3199559151121747,0.01,0.069631,3.680391,0.29051,-1.196572,-2.73211,-3.55562,5.0
997,9.39,1.589843807291644,1.537154393868473,3.5244183111734726,0.3408591951615419,3.3362481649681706,0.01,0.069631,3.681324,0.340779,-1.135237,-2.730548,-3.576535,5.0
998,9.39,1.589843825772049,1.5371450253200516,3.522567650218337,0.3169846208986048,3.352717607953014,0.01,0.069631,3.682136,0.392798,-1.071849,-2.728108,-3.597103,5.0
999,9.39,1.5898438477381807,1.5371312553281111,3.519902559701096,0.28232578078608994,3.3767124097480394,0.01,0.069631,3.68226,0.467644,-0.981008,-2.724416,-3.626668,5.0
1000,9.39,1.5898438758660287,1.5371067272574832,3.5172288024221787,0.24764464267998243,3.4006919588911204,0.01,0.069631,3.681872,0.542968,-0.890793,-2.719655,-3.655232,5.0
1001,9.39,1.5898439170680536,1.5370556198694378,3.514463563574062,0.21235744220064973,3.424904503025334,0.01,0.069631,3.681766,0.621596,-0.798902,-2.712557,-3.682358,5.0
1002,9.39,1.5898439734047252,1.5369660142617982,3.511400083131918,0.1732517737921806,3.4517321310096545,0.01,0.069631,3.680715,0.706993,-0.702738,-2.704094,-3.71122,5.0
1003,9.39,1.5898439868745833,1.536950867992064,3.5083497664795518,0.1343840300215816,3.4783945826185327,0.01,0.069631,3.678707,0.789582,-0.615042,-2.695018,-3.738401,5.0
1004,9.39,1.5898440027717051,1.5369273977271827,3.505176049385453,0.09488255681076849,3.5051949645170564,0.01,0.069631,3.677068,0.874383,-0.532592,-2.682673,-3.762514,5.0
1005,9.39,1.5898440229874233,1.536887908841548,3.5018957791808716,0.05390722491661698,3.533038705088549,0.01,0.069631,3.671821,0.963925,-0.453723,-2.666398,-3.783533,5.0
1006,9.39,1.5898440362760768,1.5368578906448223,3.498515283395078,0.012604655772880224,3.560811159720936,0.01,0.069631,3.662788,1.066548,-0.368399,-2.640441,-3.796842,5.0
1007,9.39,1.5898440416550979,1.5368365901616516,3.495140835861405,-0.028425996702536163,3.588337982641935,0.01,0.069631,3.651875,1.174551,-0.282747,-2.609504,-3.805342,5.0
1008,9.39,1.5898440490141688,1.5367893143764453,3.4917167983463737,-0.06947124882361674,3.6156736410991495,0.01,0.069631,3.643944,1.292164,-0.191353,-2.571326,-3.807753,5.0
1009,9.39,1.589844078503138,1.5364781338201952,3.4891423560150203,-0.10026303930720673,3.6360791171002314,0.01,0.069633,3.64068,1.384509,-0.12068,-2.539241,-3.806532,5.0
1010,9.39,1.589844098405422,1.5362977797216693,3.4897282085397303,-0.09565371469183932,3.6337618717916302,0.01,0.069634,3.637607,1.358375,-0.141933,-2.552207,-3.812529,5.0
1011,9.39,1.5898441133436572,1.536200827210747,3.4902541843026222,-0.09113884711392953,3.631323311097638,0.01,0.069633,3.63548,1.335677,-0.160289,-2.562965,-3.817014,5.0
1012,9.39,1.5898441268080519,1.5361361847310162,3.4907320914279283,-0.08671247988200095,3.6287901715984967,0.01,0.069634,3.634112,1.315758,-0.176296,-2.571946,-3.820283,5.0
